City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
196,Labuhan,ID,2021-01-14 12:32:48,-6.8844,112.2051,79.81,81,100,9.71
197,Cabo San Lucas,MX,2021-01-14 12:32:39,22.8909,-109.9124,57.0,48,52,1.99
198,Taoudenni,ML,2021-01-14 12:31:44,22.6783,-3.9836,73.92,18,3,14.29
199,Ust-Maya,RU,2021-01-14 12:36:44,60.4167,134.5333,-47.15,76,86,1.34
200,Leh,IN,2021-01-14 12:34:00,34.1667,77.5833,14.92,44,100,2.15
201,Comodoro Rivadavia,AR,2021-01-14 12:33:26,-45.8667,-67.5,64.4,72,0,4.61
202,Yerbogachen,RU,2021-01-14 12:34:25,61.2767,108.0108,-5.35,88,100,13.35
203,Torbay,CA,2021-01-14 12:32:08,47.6666,-52.7314,35.01,100,90,12.66
204,Odweyne,SO,2021-01-14 12:33:58,9.4092,45.064,81.07,22,19,10.4
205,Port Moresby,PG,2021-01-14 12:36:45,-9.4431,147.1797,82.4,83,90,2.82
206,Emba,KZ,2021-01-14 12:33:35,48.8264,58.1442,11.66,89,100,21.43
207,Ngunguru,NZ,2021-01-14 12:36:46,-35.6167,174.5,62.01,90,3,9.22
208,Tiksi,RU,2021-01-14 12:32:04,71.6872,128.8694,-36.17,84,80,2.8
209,Leshukonskoye,RU,2021-01-14 12:36:46,64.8989,45.7622,-17.95,86,0,3.53
210,Nouna,BF,2021-01-14 12:36:47,12.7333,-3.8667,96.3,8,0,13.85
211,Chuy,UY,2021-01-14 12:31:18,-33.6971,-53.4616,73.27,49,0,11.05
212,Hamilton,US,2021-01-14 12:36:47,39.1834,-84.5333,33.01,86,75,10.36
213,Sangar,RU,2021-01-14 12:33:49,63.9242,127.4739,-44.99,76,12,5.75
214,Lorengau,PG,2021-01-14 12:36:47,-2.0226,147.2712,82.78,73,100,8.79
215,Skive,DK,2021-01-14 12:36:48,56.5667,9.0333,30.99,86,90,5.75
216,Sinjai,ID,2021-01-14 12:33:47,-5.1241,120.253,78.84,85,92,3.89
217,Bandarbeyla,SO,2021-01-14 12:34:01,9.4942,50.8122,77.02,62,0,21.97
218,Vila Velha,BR,2021-01-14 12:32:43,-20.3297,-40.2925,84.99,69,75,9.22
219,Kavaratti,IN,2021-01-14 12:33:15,10.5669,72.642,83.32,65,78,4.81
220,Kedrovyy,RU,2021-01-14 12:36:49,56.1667,91.8167,6.8,66,40,17.9
221,Durant,US,2021-01-14 12:35:58,33.994,-96.3708,42.01,93,1,7.81
