City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Te Anau,NZ,-45.4167,167.7167,56.52,81,67,2.59,broken clouds
181,Deputatskiy,RU,69.3,139.9,-23.91,89,100,1.95,overcast clouds
182,Lebu,CL,-37.6167,-73.65,54.73,90,0,18.07,clear sky
183,San Quintin,MX,30.4833,-115.95,61.54,41,0,1.81,clear sky
184,Ola,RU,59.5833,151.2833,-8.09,89,100,12.86,overcast clouds
185,Bullhead City,US,35.1478,-114.5683,66.2,32,1,25.32,clear sky
186,Hermanus,ZA,-34.4187,19.2345,75.99,62,0,3.0,clear sky
187,Honningsvag,NO,70.9821,25.9704,38.59,77,100,16.55,overcast clouds
188,Parati,BR,-23.2178,-44.7131,76.69,68,100,4.07,overcast clouds
189,Santiago De Chuco,PE,-8.15,-78.1833,48.96,80,100,2.28,overcast clouds
190,Tha Rua,TH,14.5634,100.7226,91.99,47,24,7.0,few clouds
191,Auki,SB,-8.7676,160.7034,83.1,75,1,3.0,clear sky
192,Gander,CA,48.9682,-54.5906,24.8,93,90,4.61,light snow
193,Yankton,US,42.8711,-97.3973,33.8,75,90,14.97,overcast clouds
194,Pastavy,BY,55.1168,26.8326,-3.23,91,86,5.55,overcast clouds
195,Kousseri,CM,12.0769,15.0306,60.8,33,0,8.05,clear sky
196,Bogandinskiy,RU,56.8937,65.8938,14.0,85,75,11.18,light snow
197,Provideniya,RU,64.3833,-173.3,-8.61,84,88,9.57,overcast clouds
198,Fuzhou,CN,26.0614,119.3061,51.8,43,0,24.61,clear sky
199,Kaitangata,NZ,-46.2817,169.8464,57.0,86,100,8.01,light rain
200,Kipini,KE,-2.5257,40.5262,84.2,65,1,9.22,clear sky
201,Leh,IN,34.1667,77.5833,21.99,56,62,1.74,broken clouds
202,Kayes,ML,14.0,-11.0,61.11,27,0,2.89,clear sky
203,Ust-Kuyga,RU,70.0167,135.6,-17.95,85,100,6.02,overcast clouds
204,Kavaratti,IN,10.5669,72.642,82.33,72,0,8.5,clear sky
205,Longyearbyen,SJ,78.2186,15.6401,24.8,80,75,4.61,broken clouds
206,Saint-Augustin,CA,51.226,-58.6502,24.19,93,100,11.92,overcast clouds
207,Mantua,IT,45.1667,10.7833,34.0,86,99,3.0,overcast clouds
208,Bismil,TR,37.8486,40.6658,48.2,93,75,6.91,broken clouds
209,Konstantinovsk,RU,47.5828,41.0922,18.03,92,100,11.99,overcast clouds
210,Chegdomyn,RU,51.1167,133.0167,-10.53,89,100,2.26,snow
211,Khatanga,RU,71.9667,102.5,-24.75,85,17,9.86,few clouds
212,Salalah,OM,17.0151,54.0924,82.4,11,0,3.44,clear sky
213,Cam Ranh,VN,11.9214,109.1591,80.6,57,20,19.57,few clouds
214,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,59,90,6.91,overcast clouds
215,Olafsvik,IS,64.8945,-23.7142,35.33,93,100,14.76,light snow
216,Constitucion,CL,-35.3333,-72.4167,56.66,70,0,7.02,clear sky
217,Shimoda,JP,34.6667,138.95,51.8,58,75,9.22,broken clouds
218,Ruidoso,US,33.3317,-105.673,35.6,35,1,8.05,clear sky
219,Binga,ZW,-17.6203,27.3414,77.32,83,100,1.25,moderate rain
220,Port Lincoln,AU,-34.7333,135.8667,66.09,64,38,14.41,scattered clouds
221,Cockburn Town,TC,21.4612,-71.1419,77.76,75,100,7.36,overcast clouds
222,Gimli,CA,50.6336,-96.9907,10.4,92,89,4.61,light snow
223,Mancio Lima,BR,-7.6142,-72.8958,72.43,96,75,2.39,broken clouds
224,Alenquer,BR,-1.9417,-54.7383,75.2,94,0,3.44,clear sky
