City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
247,Asfi,MA,50.92,overcast clouds,32.2994,-9.2372,Hôtel Abda
253,Ternate,ID,81.97,moderate rain,0.8,127.4,Grand Dafam Bela Ternate
254,Katobu,ID,76.84,moderate rain,-4.9408,122.5276,La Ode Husein
257,Hengyang,CN,52.57,clear sky,26.8881,112.615,Honglin Guesthouse
259,Ahipara,NZ,67.66,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
262,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
263,Uige,AO,69.93,overcast clouds,-7.6087,15.0613,Juliao Pereira
264,Baihar,IN,84.4,clear sky,22.1,80.55,T3 RESORT & RESEARCH CENTRE
265,Pokhara,NP,66.56,broken clouds,28.2333,83.9833,Hotel View Point
266,Jaru,BR,71.98,light rain,-10.4389,-62.4664,Hotel Paraná
267,Necochea,AR,62.01,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
270,Kahului,US,73.4,clear sky,20.8947,-156.47,Maui Seaside Hotel
271,Cairns,AU,78.8,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
272,Sao Sebastiao,BR,76.8,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
275,Laguna,US,53.01,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
276,The Valley,AI,77.0,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
278,Namibe,AO,73.8,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
280,Najran,SA,64.4,clear sky,17.4924,44.1277,محمد هادي ال فطيح
281,Nagua,DO,68.0,overcast clouds,19.3832,-69.8474,Hotel Cambri
282,Abu Dhabi,AE,68.0,clear sky,24.4667,54.3667,Beach Rotana
283,Ixtapa,MX,68.52,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
284,Le Port,RE,87.8,clear sky,-20.9373,55.2919,Villa Maido
285,Esperance,AU,78.8,clear sky,-33.8667,121.9,Hospitality Esperance
288,Bumba,CD,73.72,overcast clouds,2.1833,22.4667,Hôtel Cape Town
289,Tura,IN,76.37,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
292,Hithadhoo,MV,81.46,overcast clouds,-0.6,73.0833,Scoop Guest House
294,Mackay,AU,84.0,scattered clouds,-21.15,149.2,International Lodge Motel
297,Araouane,ML,56.3,overcast clouds,18.9048,-3.5265,
301,Castro,BR,65.64,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
304,Kant,IN,69.21,clear sky,27.8,79.8,Haseeb Khan shatreng
306,New Norfolk,AU,66.0,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
307,Puerto Montt,CL,50.0,mist,-41.4698,-72.9447,Holiday Inn Express Puerto Montt
308,Broken Hill,AU,80.6,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
309,Mukdahan,TH,80.6,scattered clouds,16.5833,104.5,Ban Kham Phung
310,Polewali,ID,81.99,moderate rain,-3.4324,119.3435,Lilianto Hotel
311,Bushehr,IR,62.6,scattered clouds,28.9684,50.8385,Yas Hotel
312,Labuan,MY,73.4,heavy intensity rain,5.2767,115.2417,Tiara Labuan Hotel
314,Goure,NE,64.96,clear sky,13.9835,10.2704,
315,Sao Filipe,CV,70.79,few clouds,14.8961,-24.4956,Tortuga B&B
316,Koratla,IN,85.86,clear sky,18.8167,78.7167,Srinivasa Lodge
318,San Martin,AR,64.4,clear sky,-33.081,-68.4681,Finca Vivencias
319,Yorosso,ML,64.56,overcast clouds,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
320,San Luis,AR,54.52,clear sky,-33.295,-66.3356,Huarpes Hotel
321,Neiafu,TO,82.4,broken clouds,-18.65,-173.9833,Mystic Sands
323,Country Club,US,57.99,clear sky,25.9482,-80.317,Hampton Inn & Suites Ft. Lauderdale/Miramar
324,Faanui,PF,81.57,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
325,High Rock,BS,64.4,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
329,Joanopolis,BR,71.6,clear sky,-22.9303,-46.2756,Espaço Orchestra do Silêncio
336,Etchojoa,MX,59.0,clear sky,26.9167,-109.6333,Cuadra RT
339,Aloleng,PH,82.09,few clouds,16.1307,119.7824,Agno Umbrella Rocks
340,Mao,ES,51.8,clear sky,39.8885,4.2658,ARTIEM Capri
341,Aconibe,GQ,70.21,scattered clouds,1.2968,10.9369,
342,Lai,TD,73.69,clear sky,9.3952,16.2989,
347,Boyolangu,ID,85.21,overcast clouds,-8.1181,111.8935,Yos ega cv
349,Hualmay,PE,69.87,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
350,Mangaratiba,BR,73.4,clear sky,-22.9597,-44.0406,Portobello Resort & Safari
352,Kiboga,UG,74.61,broken clouds,0.9161,31.7742,Marie Lustenberger Guest House
353,Progreso,MX,62.01,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
354,La Peca,PE,67.78,light rain,-5.6111,-78.435,Hospedaje San Miguelito
355,Poum,NC,82.89,overcast clouds,-20.2333,164.0167,Gîte kajeon
357,Nakasongola,UG,81.99,broken clouds,1.3089,32.4564,Norena Hotel
360,Saldanha,ZA,64.4,clear sky,-33.0117,17.9442,Blue Bay Lodge
361,Bambous Virieux,MU,86.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
